Commercial,Commercial Demand
537 BAY ST,0 US 31 NORTH & N FOUR MILE
1413 WOODMERE AVE,141 RIVERS EDGE DR
13920 S WEST BAY SHORE DR,1225 W FRONT ST
508 MUNSON AVE,202 E STATE ST
907 1/2 WOODMERE AVE,125 E EIGHTH ST
822 CASS ST,1234 HASTINGS ST
1719 S GARFIELD AVE,545 E EIGHTH ST
1501 CASS ST,202 E FRONT ST
1897 US 31 NORTH,1125 CENTRE ST
1240 E EIGHTH ST,161 E GRANDVIEW PKWY
435 BAY ST,1794 BARLOW ST
134 1/2 E FRONT ST,1050 PENINSULA DR
1505 PREMIER ST,800 COTTAGEVIEW DR STE
507 BAY ST,701 BAY ST
13842 S WINDCREST CT,520 FRANKLIN ST
156 E FRONT ST,3950 SCENIC RIDGE
206 S OAK ST,117 S UNION ST
817 BAY ST,302 W FRONT ST
1117 WEST CIVIC CENTER DR,2475 N AERO PARK CT
934 WOOD AVE,1210 WOODMERE AVE
134 E FRONT ST,447 MUNSON AVE
130 HALL ST,1401 US 31 NORTH
855 E FRONT ST,1135 WOODMERE AVE
145 E FRONT ST,748 E EIGHTH ST
884 ROBINWOOD CT,222 E FRONT ST
2702 AERO PARK DR,101 W FRONT ST
125 E STATE ST,212 E FRONT ST
720 MUNSON AVE,610 WOODMERE AVE
215 WASHINGTON ST,531 W FOURTEENTH ST
3943 SUMAC DR,238 E FRONT ST
232 1/2 E FRONT ST,1407 S DIVISION ST
725 S GARFIELD AVE,539 W FRONT ST
602 WOODMERE AVE,933 ROSE ST
730 CENTRE PL,105 HALL ST
911 W ELEVENTH ST,1670 BARLOW ST
2823 CASS RD,3211 N GARFIELD RD
441 E FRONT ST,525 W FRONT ST
723 WOODMERE AVE,3850 SCENIC RIDGE
319 FRANKLIN ST,2487 RICE ST
1600 EASTERN AVE,860 E FRONT ST
112 W FOURTEENTH ST,2604 W SOUTH AIRPORT RD
1235 E FRONT ST,3980 N US 31 SOUTH
116 CASS ST,1123 E EIGHTH ST
691 PARSONS RD,305 W FRONT ST
2366 CASS RD,736 E EIGHTH ST
1019 E EIGHTH ST,2325 SYBRANDT RD
537 BAY ST GAR.,735 S GARFIELD AVE
115 GILLIS ST,1220 E FRONT ST
114 1/2 E FRONT ST,321 B W THIRTEENTH ST
0 PARK ST HOLIDAY LIGHTS,1029 HANNAH AVE
914 E EIGHTH ST,1600 BARLOW ST
416 E FRONT ST,124 COCHLIN ST
409 E EIGHTH ST,13919 S WEST BAY SHORE DR
502 E EIGHTH ST,880 PARSONS RD
509 ROSE ST,315 E FRONT ST
710 COTTAGEVIEW DR,505 W FRONT ST
703 PARSONS RD,1060 E FRONT ST
124 CASS ST,1247 BOON ST
140 E FRONT ST,887 LYNCH DR
314 MUNSON AVE,800 COTTAGEVIEW DR STE
3221 RACQUET CLUB DR,1244 CARVER ST
1429 BARLOW ST UNIT,810 COTTAGEVIEW DR
2819 CASS RD,441 E FRONT ST
2811 CASS RD,1142 BARLOW ST
517 E EIGHTH ST,300 E FRONT ST
140 E FRONT ST,1500 US 31 NORTH
1313 W SOUTH AIRPORT RD,1545 S DIVISION ST
1153 S GARFIELD AVE,519 W FRONT ST
3969 SUMAC DR,724 MUNSON AVE
601 FITZHUGH DR,320 SIXTH ST
401 S GARFIELD AVE,1010 S GARFIELD AVE
1760 FOREST RIDGE DR,833 E FRONT ST
606 STATION ST,521 COTTAGEVIEW DR
1125 WEST CIVIC CENTER DR,835 LYNCH DR
913 BARLOW ST,1150 AIRPORT ACCESS RD
531 S UNION ST,234 E FRONT ST
0 W S AIRPORT RD,333 W GRANDVIEW PKWY -3RD
1401 WOODMERE AVE,400 W FRONT ST
1645 W SOUTH AIRPORT RD,3900 N US 31 SOUTH
100 PARK ST,2950 LAFRANIER RD
1131 S GARFIELD AVE,1331 S GARFIELD AVE
0 SIXTH & UNION,907 WOODMERE AVE
619 E EIGHTH ST,402 E FRONT ST
2244 CASS RD,908 E EIGHTH ST
315 N DIVISION ST,830 E FRONT ST
1026 RED DR,10850 EAST TRAVERSE HWY
140 RIVERS EDGE DR,1120 CARVER ST
10753 PINE BLUFF DR,260 E TENTH ST
535 W FRONT ST,412 WEBSTER ST
720 FITZHUGH DR,2779 AERO PARK DR
6619 MISSION RIDGE,820 RED DR
225 GARLAND ST,2651 AERO PARK DR
144 HALL ST,700 COTTAGEVIEW DR
3139 N KEYSTONE RD,717 RANDOLPH ST
715 E STATE ST STE,125 PARK ST
2000 RANDOLPH ST,815 S GARFIELD AVE
853 E FRONT ST,315 E FRONT ST
441 E FRONT ST,1319 S DIVISION ST
800 WESTMINSTER RD,821 S GARFIELD AVE
124 MUNSON AVE,1331 1/2 S GARFIELD AVE
0 E F HUTTON PARKING LOT,109 E FRONT ST
