Commercial,Building Type C,Commercial Demand,Building Type CD
537 BAY ST,Retail Standalone,0 US 31 NORTH & N FOUR MILE,Other 
1413 WOODMERE AVE,Small Office,141 RIVERS EDGE DR,Medium Office
13920 S WEST BAY SHORE DR,Retail Strip Mall,1225 W FRONT ST,Outpatient
508 MUNSON AVE,Full Service Restaurant,202 E STATE ST,Medium Office
907 1/2 WOODMERE AVE,Retail Strip Mall,125 E EIGHTH ST,Other 
822 CASS ST,Outpatient,1234 HASTINGS ST,Small Office
1719 S GARFIELD AVE,Warehouse,545 E EIGHTH ST,Full Service Restaurant
1501 CASS ST,Retail Standalone,202 E FRONT ST,Quick Service Restaurant
1897 US 31 NORTH,Small Hotel,1125 CENTRE ST,Full Service Restaurant
1240 E EIGHTH ST,Outpatient,161 E GRANDVIEW PKWY,Other 
435 BAY ST,Medium Office,1794 BARLOW ST,Retail Standalone
134 1/2 E FRONT ST,Retail Strip Mall,1050 PENINSULA DR,Religious worship 
1505 PREMIER ST,Warehouse,800 COTTAGEVIEW DR STE,Midrise Apartment
507 BAY ST,Retail Standalone,701 BAY ST,Other 
13842 S WINDCREST CT,Residential Home,520 FRANKLIN ST,Full Service Restaurant
156 E FRONT ST,Retail Strip Mall,3950 SCENIC RIDGE,Retirement Community
206 S OAK ST,Religious worship ,117 S UNION ST,Full Service Restaurant
817 BAY ST,Retail Standalone,302 W FRONT ST,Small Office
1117 WEST CIVIC CENTER DR,Outpatient,2475 N AERO PARK CT,Warehouse
934 WOOD AVE,Residential Home,1210 WOODMERE AVE,Warehouse
134 E FRONT ST,Retail Strip Mall,447 MUNSON AVE,Outpatient
130 HALL ST,Medium Office,1401 US 31 NORTH,Small Hotel
855 E FRONT ST,Small Hotel,1135 WOODMERE AVE,Small Office
145 E FRONT ST,Retail Strip Mall,748 E EIGHTH ST,Retail Standalone
884 ROBINWOOD CT,Warehouse,222 E FRONT ST,Retail Strip Mall
2702 AERO PARK DR,Warehouse,101 W FRONT ST,Retail Strip Mall
125 E STATE ST,Full Service Restaurant,212 E FRONT ST,Retail Strip Mall
720 MUNSON AVE,Retail Strip Mall,610 WOODMERE AVE,Medium Office
215 WASHINGTON ST,Small Office,531 W FOURTEENTH ST,Quick Service Restaurant
3943 SUMAC DR,Large Hotel,238 E FRONT ST,Retail Strip Mall
232 1/2 E FRONT ST,Retail Strip Mall,1407 S DIVISION ST,Small Office
725 S GARFIELD AVE,Warehouse,539 W FRONT ST,Retail Strip Mall
602 WOODMERE AVE,Other ,933 ROSE ST,Secondary School
730 CENTRE PL,Small Hotel,105 HALL ST,Medium Office
911 W ELEVENTH ST,Small Office,1670 BARLOW ST,Warehouse
2823 CASS RD,Warehouse,3211 N GARFIELD RD,Retail Standalone
441 E FRONT ST,Quick Service Restaurant,525 W FRONT ST,Full Service Restaurant
723 WOODMERE AVE,Retail Standalone,3850 SCENIC RIDGE,Retirement Community
