,Rate,Building Type,Address Requested,Address Delivered,Addresses Match?,Annual Sunlight (Hours),Roof Area (sq ft),Savings Estimate ($),Recommended Installation Size (kW),Recommended Area (sq ft)
0,Commercial,Retail Standalone,"537 BAY ST, Traverse City, Michigan, USA","539 Bay St, Traverse City, MI 49684, USA",0,1278,2731,5000,6.5,458.0
1,Commercial,Small Office,"1413 WOODMERE AVE, Traverse City, Michigan, USA","1401 Woodmere Ave, Traverse City, MI 49686, USA",0,1370,5814,6000,6.0,423.0
2,Commercial,Retail Strip Mall,"13920 S WEST BAY SHORE DR, Traverse City, Michigan, USA","13916 S W Bay Shore Dr, Traverse City, MI 49684, USA",0,1316,9708,5000,6.3,440.0
3,Commercial,Full Service Restaurant,"508 MUNSON AVE, Traverse City, Michigan, USA","508 Munson Ave, Traverse City, MI 49686, USA",1,1345,2414,5000,6.5,458.0
4,Commercial,Retail Strip Mall,"907 1/2 WOODMERE AVE, Traverse City, Michigan, USA","907 Woodmere Ave, Traverse City, MI 49686, USA",1,1318,7946,5000,6.3,440.0
5,Commercial,Outpatient,"822 CASS ST, Traverse City, Michigan, USA","822 S Cass St, Traverse City, MI 49684, USA",1,1282,1145,5000,6.5,458.0
6,Commercial,Warehouse,"1719 S GARFIELD AVE, Traverse City, Michigan, USA","1723 S Garfield Ave, Traverse City, MI 49686, USA",0,1331,18394,6000,6.3,440.0
7,Commercial,Retail Standalone,"1501 CASS ST, Traverse City, Michigan, USA","145 Fairway Hills Dr, Traverse City, MI 49684, USA",0,1335,1691,5000,6.5,458.0
8,Commercial,Small Hotel,"1897 US 31 NORTH, Traverse City, Michigan, USA",Not Found,,,,,,
9,Commercial,Outpatient,"1240 E EIGHTH ST, Traverse City, Michigan, USA","1240 E Eighth St, Traverse City, MI 49686, USA",1,1278,1956,5000,6.5,458.0
10,Commercial,Medium Office,"435 BAY ST, Traverse City, Michigan, USA","435 Bay St, Traverse City, MI 49684, USA",1,1309,1550,5000,6.5,458.0
11,Commercial,Retail Strip Mall,"134 1/2 E FRONT ST, Traverse City, Michigan, USA","134 E Front St Lower Unit, Traverse City, MI 49684, USA",1,1334,1321,6000,6.3,440.0
12,Commercial,Warehouse,"1505 PREMIER ST, Traverse City, Michigan, USA","1505 Premier St, Traverse City, MI 49686, USA",1,1319,6677,6000,6.3,440.0
13,Commercial,Retail Standalone,"507 BAY ST, Traverse City, Michigan, USA","507 Bay St, Traverse City, MI 49684, USA",1,1435,722,5000,6.3,440.0
14,Commercial,Residential Home,"13842 S WINDCREST CT, Traverse City, Michigan, USA","2675 Windcrest Ln, Traverse City, MI 49686, USA",0,1233,846,4000,7.3,511.0
15,Commercial,Retail Strip Mall,"156 E FRONT ST, Traverse City, Michigan, USA","156 E Front St, Traverse City, MI 49684, USA",1,1340,1550,5000,6.3,440.0
16,Commercial,Religious worship ,"206 S OAK ST, Traverse City, Michigan, USA","206 S Oak St, Traverse City, MI 49684, USA",1,1191,1762,3000,7.5,529.0
17,Commercial,Retail Standalone,"817 BAY ST, Traverse City, Michigan, USA","817 Bay St, Traverse City, MI 49684, USA",1,1307,2608,5000,6.5,458.0
18,Commercial,Outpatient,"1117 WEST CIVIC CENTER DR, Traverse City, Michigan, USA","201 S Garfield Ave, Traverse City, MI 49686, USA",0,1312,2326,5000,6.3,440.0
19,Commercial,Residential Home,"934 WOOD AVE, Traverse City, Michigan, USA","934 Wood Ave, Traverse City, MI 49686, USA",1,1340,546,5000,6.5,458.0
20,Commercial,Retail Strip Mall,"134 E FRONT ST, Traverse City, Michigan, USA","134 E Front St Lower Unit, Traverse City, MI 49684, USA",1,1334,1321,6000,6.3,440.0
21,Commercial,Medium Office,"130 HALL ST, Traverse City, Michigan, USA","107 Hall St, Traverse City, MI 49684, USA",0,1323,1709,5000,6.3,440.0
22,Commercial,Small Hotel,"855 E FRONT ST, Traverse City, Michigan, USA","855 E Front St, Traverse City, MI 49686, USA",1,1123,546,1000,7.8,546.0
23,Commercial,Retail Strip Mall,"145 E FRONT ST, Traverse City, Michigan, USA","145 E Front St, Traverse City, MI 49684, USA",1,1330,1903,6000,6.3,440.0
24,Commercial,Warehouse,"884 ROBINWOOD CT, Traverse City, Michigan, USA","884 Robinwood Ct, Traverse City, MI 49686, USA",1,1263,1885,4000,7.0,493.0
25,Commercial,Warehouse,"2702 AERO PARK DR, Traverse City, Michigan, USA","2670 Aero-Park Dr, Traverse City, MI 49686, USA",0,1332,4299,6000,6.3,440.0
26,Commercial,Full Service Restaurant,"125 E STATE ST, Traverse City, Michigan, USA","Parking lot, 125 E State St, Traverse City, MI 49684, USA",0,1341,969,6000,6.3,440.0
27,Commercial,Retail Strip Mall,"720 MUNSON AVE, Traverse City, Michigan, USA",Not Found,,,,,,
28,Commercial,Small Office,"215 WASHINGTON ST, Traverse City, Michigan, USA","216 E State St, Traverse City, MI 49684, USA",0,1445,194,400,2.8,194.0
29,Commercial,Large Hotel,"3943 SUMAC DR, Traverse City, Michigan, USA","3931 Creekside Dr, Traverse City, MI 49684, USA",0,1408,2608,6000,6.0,423.0
30,Commercial,Retail Strip Mall,"232 1/2 E FRONT ST, Traverse City, Michigan, USA","232 E Front St, Traverse City, MI 49684, USA",1,1333,4035,6000,6.3,440.0
31,Commercial,Warehouse,"725 S GARFIELD AVE, Traverse City, Michigan, USA","735 S Garfield Ave #B100, Traverse City, MI 49686, USA",0,1335,2255,6000,6.3,440.0
32,Commercial,Other ,"602 WOODMERE AVE, Traverse City, Michigan, USA",Not Found,,,,,,
33,Commercial,Small Hotel,"730 CENTRE PL, Traverse City, Michigan, USA","730 Centre Pl, Traverse City, MI 49686, USA",1,1228,1321,4000,7.3,511.0
34,Commercial,Small Office,"911 W ELEVENTH ST, Traverse City, Michigan, USA","911 W Eleventh St, Traverse City, MI 49684, USA",1,1416,1498,6000,6.0,423.0
35,Commercial,Warehouse,"2823 CASS RD, Traverse City, Michigan, USA","2823 Cass Rd, Traverse City, MI 49684, USA",1,1321,22340,6000,6.3,440.0
36,Commercial,Quick Service Restaurant,"441 E FRONT ST, Traverse City, Michigan, USA","441 E Front St, Traverse City, MI 49686, USA",1,1422,3647,6000,5.8,405.0
37,Commercial,Retail Standalone,"723 WOODMERE AVE, Traverse City, Michigan, USA","717 Woodmere Ave, Traverse City, MI 49686, USA",0,1387,2731,6000,6.0,423.0
38,Commercial,Residential Home,"319 FRANKLIN ST, Traverse City, Michigan, USA","319 Franklin St, Traverse City, MI 49686, USA",1,1277,669,3000,7.8,546.0
39,Commercial,Primary School,"1600 EASTERN AVE, Traverse City, Michigan, USA","1600 Eastern Ave, Traverse City, MI 49686, USA",1,1379,27485,6000,6.0,423.0
40,Commercial,Small Office,"112 W FOURTEENTH ST, Traverse City, Michigan, USA","112 W Fourteenth St, Traverse City, MI 49684, USA",1,1331,2202,6000,6.3,440.0
41,Commercial,Small Office,"1235 E FRONT ST, Traverse City, Michigan, USA","1235 E Front St, Traverse City, MI 49686, USA",1,1304,5286,5000,6.3,440.0
42,Commercial,Retail Standalone,"116 CASS ST, Traverse City, Michigan, USA","158 E Front St, Traverse City, MI 49684, USA",0,1304,1920,5000,6.3,440.0
43,Commercial,Retail Standalone,"691 PARSONS RD, Traverse City, Michigan, USA",Not Found,,,,,,
44,Commercial,Retail Standalone,"2366 CASS RD, Traverse City, Michigan, USA","2366 Cass Rd, Traverse City, MI 49684, USA",1,1326,8933,6000,6.3,440.0
45,Commercial,Retail Strip Mall,"1019 E EIGHTH ST, Traverse City, Michigan, USA","1023 E Eighth St, Traverse City, MI 49686, USA",0,1316,6025,5000,6.3,440.0
46,Commercial,Small Hotel,"537 BAY ST GAR., Traverse City, Michigan, USA","539 Bay St, Traverse City, MI 49684, USA",0,1278,2731,5000,6.5,458.0
47,Commercial,Retail Standalone,"115 GILLIS ST, Traverse City, Michigan, USA","426 W Front St, Traverse City, MI 49684, USA",0,1376,617,5000,6.5,458.0
48,Commercial,Retail Strip Mall,"114 1/2 E FRONT ST, Traverse City, Michigan, USA","114 E Front St # 205, Traverse City, MI 49684, USA",1,1250,4686,5000,6.8,476.0
49,Commercial,Other ,"0 PARK ST HOLIDAY LIGHTS, Traverse City, Michigan, USA",Not Found,,,,,,
50,Commercial,Retail Standalone,"914 E EIGHTH ST, Traverse City, Michigan, USA","914 E Eighth St, Traverse City, MI 49686, USA",1,1313,476,2000,6.8,476.0
51,Commercial,Small Office,"416 E FRONT ST, Traverse City, Michigan, USA","416 E Front St, Traverse City, MI 49686, USA",1,1321,1603,5000,6.3,440.0
52,Commercial,Small Office,"409 E EIGHTH ST, Traverse City, Michigan, USA","409 E Eighth St, Traverse City, MI 49686, USA",1,1143,476,200,6.8,476.0
53,Commercial,Retail Standalone,"502 E EIGHTH ST, Traverse City, Michigan, USA","502 E Eighth St, Traverse City, MI 49686, USA",1,1295,2026,5000,6.5,458.0
